85 '600107' 美尔雅              121685  64696 纺织服装  0.0646 0.562%    1.464        
86 '600108' 亚盛集团            725109  256335 农牧业  0.0423 2.305%    2.382        
87 '600109' 国金证券            5534000  3870100 金融保险  -0.463 1.910%    5.490        
88 '600110' 诺德股份            572441 930603 383348 机械仪表  0.435 7.730%    1.625       930603 930603
89 '600111' 北方稀土            1439888  450601 金属材料  0.0292 0.0799%    2.291        
90 '600112' 天成控股            281104  154139 机械仪表  -0.004 0.359%    2.493        
91 '600113' 浙江东日            88181  40618 房地产  0.752 19.500%    1.488        
92 '600114' 东睦股份            231440  65624 金属材料  0.473 10.508%    3.906        
93 '600115' 东方航空            19570899 5860426 15805800 交通仓储  1.851 12.924%    2.674       7814911 5860426
94 '600116' 三峡水利            448562  216689 供水供电  0.133 2.042%    2.258        
95 '600117' 西宁特钢            2559200  2261769 金属材料  -0.226 -23.181%    2.953        
96 '600118' 中国卫星            962525 5318836 421531 信息技术  0.0982 8.348%    3.885       5318836 5318836
97 '600119' 长江投资            232497  121818 交通仓储  -0.250 10.136%    2.729        
98 '600120' 浙江东方            1132360 1003870 554725 商业贸易  0.781 11.482%    10.146       1003870 1003870
99 '600121' 郑州煤电            1109591  665433 采掘业  -0.293 -15.824%    3.387        
100 '600122' 宏图高科            1800312  976159 商业贸易  0.447 5.460%    6.714        
101 '600123' 兰花科创            2251676  1217674 采掘业  -0.0122 1.023%    8.521        
102 '600125' 铁龙物流            755964  267635 交通仓储  0.324 5.782%    3.724        
103 '600126' 杭钢股份            386572  132604 金属材料  1.165 -49.174%    2.639        
104 '600127' 金健米业            150475  75585 食品饮料  -0.0894 -23.532%    1.143        
105 '600128' 弘业股份            287459  126335 商业贸易  1.296 4.376%    6.131        
106 '600129' 太极集团            1002996  872254 生物医药  -0.141 22.798%    2.384        
107 '600130' 波导股份            137665  41201 信息技术  0.122 6.322%    1.256        
108 '600131' 岷江水电            243260  148828 供水供电  0.0521 4.601%    1.886        
109 '600132' 重庆啤酒            372119  250207 食品饮料  0.926 -5.754%    2.358        
110 '600133' 东湖高新            1642123  1450047 综合类  -0.951 8.297%    2.699        
111 '600135' 乐凯胶片            191421  28816 石油化工  -0.096 2.275%    4.319        
112 '600136' 当代明诚            121820 309032 30687 商业贸易  -0.794 6.152%    5.929       624568 309032
113 '600137' 浪莎股份            55631  9385 纺织服装  -0.253 0.314%    4.760        
114 '600138' 中青旅              955478 1683010 355458 社会服务  0.705 6.343%    6.428       1733597 1683010
115 '600139' 西部资源            632109 1053730 415062 采掘业  0.266 0.263%    1.960       1053730 1053730
116 '600141' 兴发集团            2137331  1533034 石油化工  1.394 1.587%    9.190        
117 '600143' 金发科技            1425626  594888 石油化工  0.288 6.575%    3.234        
118 '600146' 商赢环球            31497  12719 石油化工  -0.125 -16.132%    0.639        
119 '600148' 长春一东            81698  39554 机械仪表  0.0385 0.0455%    2.563        
120 '600149' 廊坊发展            38832  17903 综合类  -0.0818 -30.741%    0.549        
121 '600150' 中国船舶            5133178  3188715 机械仪表  -2.956 0.352%    12.734        
122 '600151' 航天机电            1079996 1331442 661205 机械仪表  0.0987 4.184%    3.300       1331442 1331442
123 '600152' 维科精华            138845  73130 纺织服装  0.0951 7.458%    2.021        
124 '600153' XD建发股            9943262  7276292 商业贸易  2.038 13.833%    6.735        
125 '600155' 宝硕股份            67567 617925 31006 石油化工  -0.0582 63.790%    0.742       713951 617925
126 '600156' 华升股份            118384  41233 纺织服装  0.0126 1.336%    1.742        
127 '600157' 永泰能源            8731994  6196346 采掘业  0.183 2.640%    1.781        
128 '600158' 中体产业            389734 1244639 207526 房地产  0.026 4.996%    1.840       1597191 1244639
129 '600159' 大龙地产            292093  76781 房地产  -0.0893 2.776%    2.589        
130 '600160' 巨化股份            925375  199797 石油化工  0.022 -0.476%    3.990        
131 '600161' 天坛生物            563193  339569 生物医药  0.918 0.514%    3.767        
132 '600162' 香江控股            1723251  1236857 房地产  -0.0961 8.831%    2.766        
133 '600163' 中闽能源            297318  142787 造纸印刷  0.329 0.392%    1.476        
134 '600165' 新日恒力            253085  159920 金属材料  0.275 -1.928%    1.313        
135 '600166' 福田汽车            4275296 1824281 2400124 机械仪表  0.147 2.192%    5.560       1824281 1824281
136 '600167' 联美控股            282117  169323 供水供电  -4.570 12.178%    5.337        
137 '600168' 武汉控股            797297  340824 供水供电  0.396 7.684%    6.165        
138 '600169' 太原重工            2839986  2296019 机械仪表  -0.248 0.407%    2.242        
139 '600170' 上海建工            14220026  11839777 建筑业  1.473 9.336%    3.708        
140 '600171' 上海贝岭            207104  20893 电子  0.0212 0.581%    2.728        
141 '600172' 黄河旋风            758411  306274 金属材料  0.600 6.079%    5.710        
142 '600173' XD卧龙地            440177  277066 房地产  0.650 3.705%    2.248        
143 '600175' 美都能源            1501105  1015091 商业贸易  -0.623 1.104%    1.840        
144 '600176' 中国巨石            2408363  1429017 金属材料  2.198 10.115%    8.791        
145 '600177' 雅戈尔              6142488  4211642 纺织服装  0.913 17.033%    9.399        
146 '600178' 东安动力            342153  167271 机械仪表  0.172 1.340%    3.785        
147 '600180' XD瑞茂通            1147028  733775 商业贸易  0.368 10.360%    4.056        
148 '600182' S佳通               286133  96999 石油化工  1.862 17.970%    3.311        
149 '600183' 生益科技            886010  405468 电子  0.786 11.635%    3.254        
150 '600184' 光电股份            390336  164172 机械仪表  -0.608 0.0271%    4.414        
151 '600185' 格力地产            2061264  1665088 房地产  0.315 36.778%    6.760        
152 '600186' 莲花健康            227204  225215 食品饮料  0.007 10.641%    0.096        
153 '600187' 国中水务            406528  135879 社会服务  -0.0506 -4.632%    1.748        
154 '600188' 兖州煤业            13906195 2616489 9606143 采掘业  0.570 2.593%    8.100       3269304 2616489
155 '600189' 吉林森工            459166  328834 农牧业  0.132 -7.402%    3.869        
156 '600190' 锦州港              1200416 532914 598896 交通仓储  0.272 2.194%    2.938       780594 532914
157 '600191' 华资实业            272632  42526 食品饮料  -0.103 6.433%    4.733        
158 '600192' XD长城电            454003  258212 机械仪表  -0.126 0.233%    4.280        
159 '600193' 创兴资源            40326  1926 采掘业  -0.0663 16.762%    0.903        
160 '600195' 中牧股份            439036  103462 生物医药  1.233 9.076%    7.067        
161 '600196' 复星医药            3820172 3525741 1753208 生物医药  0.701 13.531%    7.857       4132585 3525741
162 '600197' 伊力特              244956  52781 食品饮料  0.206 4.596%    4.330        
163 '600198' 大唐电信            1379458 1883342 945595 信息技术  1.024 0.699%    4.615       2054431 1883342
164 '600199' 金种子酒            331007  106552 食品饮料  0.636 2.324%    4.032        
165 '600200' 江苏吴中            424245  254044 金属材料  0.0614 3.185%    2.303        
166 '600201' 生物股份            236639  38047 生物医药  0.104 20.319%    3.471        
167 '600202' 哈空调              242661  158955 机械仪表  0.311 -3.093%    2.184        
168 '600203' 福日电子            468290 295288 290356 商业贸易  -0.290 7.133%    4.324       370393 295288
169 '600206' 有研新材            309281  18397 电子  -0.137 1.099%    3.291        
170 '600207' 安彩高科            294677  203016 交通仓储  -0.107 6.985%    1.207        
171 '600208' 新湖中宝            9484504  7047937 房地产  0.101 0.489%    2.539        
172 '600209' 罗顿发展            97578  16295 建筑业  -0.0503 0.349%    1.643        
173 '600210' 紫江企业            1154945  726183 石油化工  0.485 3.841%    2.659        
174 '600211' 西藏药业            72594  21959 商业贸易  0.161 3.933%    3.502        
175 '600213' 亚星客车            268767  254999 机械仪表  -0.849 30.644%    0.300        
176 '600215' 长春经开            406878  171640 房地产  -0.437 -2.624%    5.058        
177 '600216' 浙江医药            808788  151068 生物医药  -0.042 2.882%    7.003        
178 '600217' 秦岭水泥            243684  150967 金属材料  0.0511 19.991%    0.653        
179 '600218' 全柴动力            304529  120699 机械仪表  0.375 4.264%    4.899        
180 '600219' 南山铝业            3478918  927422 金属材料  0.315 2.364%    8.361        
181 '600220' 江苏阳光            424279  219561 纺织服装  0.270 6.177%    1.010        
182 '600221' 海南航空            12538123 3720800 8681678 交通仓储  1.029 9.692%    2.748       3867028 3720800
183 '600222' 太龙药业            263956  114016 生物医药  0.0859 0.375%    2.580        
184 '600223' 鲁商置业            3954466  3711553 房地产  -0.754 0.843%    2.152        
185 '600225' 天津松江            1479895  1271152 房地产  -0.847 -36.055%    2.015        
186 '600226' 升华拜克            223588  81658 石油化工  0.0632 9.927%    1.287        
187 '600227' 赤天化              726012  420526 石油化工  0.0403 0.704%    3.025        
188 '600228' 昌九生化            51296  37102 石油化工  0.398 -42.013%    0.243        
189 '600229' 城市传媒            263272  68460 石油化工  0.415 12.181%    2.728        
190 '600231' 凌钢股份            1528818  1031573 金属材料  -0.340 -2.631%    3.950        
191 '600232' 金鹰股份            166272  46496 纺织服装  0.283 2.537%    3.225        
192 '600233' 大杨创世            152270  21280 纺织服装  0.620 4.219%    6.485        
193 '600235' 民丰特纸            257718  130952 造纸印刷  -0.0569 -12.439%    3.552        
194 '600236' 桂冠电力            4340438  2875522 供水供电  1.314 20.469%    2.070        
195 '600237' 铜峰电子            248545  101435 电子  -0.0604 0.979%    2.536        
196 '600238' 海南椰岛            133134  43086 食品饮料  0.0598 1.458%    2.007        
197 '600239' 云南城投            4082018  3613594 房地产  -0.896 -6.956%    3.530        
198 '600240' 华业资本            2077207  1637210 房地产  2.028 15.701%    3.086        
199 '600241' 时代万恒            277924  197682 商业贸易  -0.686 -8.419%    2.823        
200 '600242' 中昌海运            173317  164615 交通仓储  -0.0352 -12.116%    0.209        
201 '600243' 青海华鼎            259179  178185 机械仪表  -0.0398 -2.785%    4.059        
202 '600246' 万通地产            1366790  1047355 房地产  0.0198 -20.951%    2.401        
203 '600248' 延长化建            501876  317331 建筑业  0.455 1.061%    3.896        
204 '600249' 两面针              396823  176954 石油化工  -0.515 -8.114%    3.882        
205 '600250' 南纺股份            173292  144659 商业贸易  -1.302 -14.734%    1.258        
206 '600251' 冠农股份            378593  163818 食品饮料  -0.180 6.823%    2.449        
207 '600252' 中恒集团            613010  117536 生物医药  0.084 10.506%    1.425        
208 '600255' 鑫科材料            480997  162561 金属材料  -0.150 -3.177%    1.747        
209 '600256' 广汇能源            4212380  2899350 采掘业  0.0462 0.247%    2.087        
210 '600257' 大湖股份            149738  70129 农牧业  -0.0995 0.578%    1.750        
211 '600258' 首旅酒店            396097  255469 社会服务  1.572 8.443%    5.125        
212 '600259' 广晟有色            327903  255223 金属材料  -0.196 -51.684%    2.026        
213 '600260' 凯乐科技            811114  506033 石油化工  -0.623 1.344%    4.310        
214 '600261' 阳光照明            504885  200556 机械仪表  0.393 12.725%    2.011        
215 '600262' 北方股份            297365  186540 机械仪表  0.646 -0.666%    6.754        
216 '600266' XD北京城            6403456  4362929 房地产  -3.594 7.362%    12.387        
217 '600267' 海正药业            1917443  1100917 生物医药  0.762 0.196%    7.167        
218 '600268' 国电南自            1102080  833661 机械仪表  0.784 1.560%    3.073        
219 '600269' 赣粤高速            3105883  1664264 交通仓储  0.813 5.548%    5.496        
220 '600270' 外运发展            842178  113275 交通仓储  0.06 13.872%    8.043        
221 '600271' 航天信息            1449185  491371 信息技术  2.720 20.214%    8.806        
222 '600272' 开开实业            93536 264960 49223 商业贸易  0.0012 4.092%    1.796       337675 264960
223 '600273' 嘉化能源            587713  243376 纺织服装  0.387 19.579%    2.629        
224 '600275' 武昌鱼              36666  18594 食品饮料  0.0363 -2.971%    0.352        
225 '600276' 恒瑞医药            1149670  113894 生物医药  1.164 21.866%    5.076        
226 '600277' 亿利洁能            2072512  1055886 石油化工  0.527 1.419%    4.409        
227 '600278' 东方创业            647140  330387 商业贸易  0.295 1.276%    5.559        
228 '600279' 重庆港九            734297 720215 313101 交通仓储  0.724 2.429%    6.932       720215 720215
229 '600280' 中央商场            1582882  1411303 商业贸易  -0.493 10.092%    1.487        
230 '600281' 太化股份            259286  190639 石油化工  -0.0154 -3.796%    1.303        
231 '600282' 南钢股份            3634342  3002369 金属材料  0.263 -38.573%    1.592        
232 '600283' 钱江水利            523900  338557 供水供电  0.544 2.322%    5.031        
233 '600284' 浦东建设            1336438  656267 建筑业  -0.331 7.543%    7.253        
234 '600285' 羚锐制药            270863  98458 生物医药  0.293 7.765%    3.186        
235 '600287' 江苏舜天            326375  180511 商业贸易  0.910 6.086%    2.867        
236 '600288' 大恒科技            306622  124480 信息技术  0.395 1.855%    3.405        
237 '600289' 亿阳信通            301808  99622 信息技术  -0.275 0.354%    3.577        
238 '600290' 华仪电气            734543  311329 机械仪表  0.0905 1.439%    5.500        
239 '600291' 西水股份            17295581  15128462 金融保险  141.918 1.707%    15.561        
240 '600292' XD远达环            856022  345207 供水供电  0.632 5.925%    6.196        
241 '600293' 三峡新材            259833  191241 金属材料  0.0216 0.153%    1.961        
242 '600295' 鄂尔多斯            4492452 479196 3161343 金属材料  2.767 2.473%    6.775       698466 479196
243 '600297' 广汇汽车            7164023  5047387 商业贸易  -0.225 6.149%    3.680        
244 '600298' 安琪酵母            662006 620038 330652 食品饮料  -0.048 3.627%    9.408       630257 620038
245 '600299' 安迪苏              1925609  429511 石油化工  0.354 5.095%    4.103        
246 '600300' 维维股份            825291  484863 食品饮料  -0.0406 1.176%    1.628        
247 '600302' 标准股份            155172  41687 机械仪表  -0.210 -3.938%    3.084        
248 '600303' 曙光股份            1009929  756999 机械仪表  -1.192 4.369%    3.816        
249 '600305' DR恒顺醋            226187 673861 70518 食品饮料  0.936 16.265%    4.889       673861 673861
250 '600307' 酒钢宏兴            4377786  3074020 金属材料  -0.152 -27.298%    2.063        
251 '600308' 华泰股份            1603220  948147 造纸印刷  1.571 1.018%    5.432        
252 '600309' 万华化学            4901946  3408585 石油化工  0.831 3.831%    5.155        
253 '600310' 桂东电力            924585  620566 供水供电  0.518 14.038%    3.235        
254 '600311' 荣华实业            98272  9064 金属材料  0.0783 0.482%    1.340        
255 '600312' 平高电气            1185847  535012 机械仪表  -0.270 2.176%    5.006        
256 '600313' 农发种业            242191  66624 商业贸易  -0.167 1.251%    2.806        
257 '600315' 上海家化            815939  243064 石油化工  0.746 38.577%    8.499        
258 '600316' 洪都航空            961739 1843702 431818 机械仪表  0.484 1.480%    7.366       1843702 1843702
259 '600317' 营口港              1632973  557842 交通仓储  0.268 5.014%    1.541        
260 '600318' 新力金融            731436  505357 金属材料  -4.246 6.550%    4.794        
261 '600320' 振华重工            5902075 1148858 4323410 机械仪表  -0.417 1.429%    3.387       1622936 1148858
262 '600321' 国栋建设            360912  83688 木材家具  0.025 1.478%    1.840        
263 '600322' 天房发展            2453730 968593 1897450 房地产  -2.062 0.862%    4.140       968593 968593
264 '600323' 瀚蓝环境            1235928  744544 供水供电  1.648 9.168%    5.735        
265 '600325' 华发股份            9163608  7266634 房地产  0.552 6.041%    10.026        
266 '600326' 西藏天路            496486  234267 建筑业  0.305 6.728%    3.266        
